Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Quartile Range,Usage_Category
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",19.4,19.0,19.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",18.7,17.2,20.3,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",18.3,17.3,19.2,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",20.4,19.5,21.3,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",21.2,20.2,22.2,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",19.7,18.7,20.7,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",18.4,17.0,19.9,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",13.8,11.0,17.0,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",13.7,13.0,14.3,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",24.6,24.0,25.2,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",11.6,11.2,12.1,9.8-11.2,Low
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",33.0,32.1,33.9,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",13.8,12.6,15.0,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",22.5,22.1,23.0,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",12.6,11.4,13.9,9.8-11.2,Medium
